id_nivelriesgo,id_dispositivo,Puntuacion,Nivel_detectado,Vegetacion,Estacion
351,1,1.33333,bajo,Sin vegetación,Seca
352,1,1.0,bajo,Sin vegetación,Seca
353,1,1.33333,bajo,Sin vegetación,Seca
354,1,1.33333,bajo,Sin vegetación,Seca
355,1,1.0,bajo,Sin vegetación,Seca
356,1,1.33333,bajo,Sin vegetación,Seca
357,1,1.33333,bajo,Sin vegetación,Seca
358,1,1.33333,bajo,Sin vegetación,Seca
359,1,1.33333,bajo,Sin vegetación,Seca
360,1,1.33333,bajo,Sin vegetación,Seca
361,1,1.33333,bajo,Sin vegetación,Seca
362,1,1.33333,bajo,Sin vegetación,Seca
363,1,1.33333,bajo,Sin vegetación,Seca
364,1,1.33333,bajo,Sin vegetación,Seca
365,1,1.33333,bajo,Sin vegetación,Seca
366,1,1.33333,bajo,Sin vegetación,Seca
367,1,1.0,bajo,Sin vegetación,Seca
368,1,2.66667,alto,Con vegetación,Lluviosa
369,1,2.66667,alto,Con vegetación,Lluviosa
370,1,2.66667,alto,Con vegetación,Lluviosa
371,1,2.66667,alto,Con vegetación,Lluviosa
372,1,2.66667,alto,Con vegetación,Lluviosa
373,1,2.66667,alto,Con vegetación,Lluviosa
374,1,2.66667,alto,Con vegetación,Lluviosa
375,1,2.33333,alto,Con vegetación,Lluviosa
376,1,2.66667,alto,Con vegetación,Lluviosa
377,1,2.33333,alto,Con vegetación,Lluviosa
378,1,2.66667,alto,Con vegetación,Lluviosa
379,1,2.33333,alto,Con vegetación,Lluviosa
380,1,2.66667,alto,Con vegetación,Lluviosa
381,1,2.66667,alto,Con vegetación,Lluviosa
382,1,2.66667,alto,Con vegetación,Lluviosa
383,1,2.33333,alto,Con vegetación,Lluviosa
384,1,2.66667,alto,Con vegetación,Lluviosa
385,1,2.66667,alto,Con vegetación,Lluviosa
386,1,2.33333,alto,Con vegetación,Lluviosa
387,1,2.33333,alto,Con vegetación,Lluviosa
388,1,2.66667,alto,Con vegetación,Lluviosa
389,1,2.66667,alto,Con vegetación,Lluviosa
390,1,2.66667,alto,Con vegetación,Lluviosa
391,1,2.66667,alto,Con vegetación,Lluviosa
392,1,2.33333,alto,Con vegetación,Lluviosa
393,1,2.66667,alto,Con vegetación,Lluviosa
394,1,2.66667,alto,Con vegetación,Lluviosa
395,1,2.66667,alto,Con vegetación,Lluviosa
396,1,2.66667,alto,Con vegetación,Lluviosa
397,1,2.66667,alto,Con vegetación,Lluviosa
398,1,2.33333,alto,Con vegetación,Lluviosa
399,1,2.66667,alto,Con vegetación,Lluviosa
400,1,2.66667,alto,Con vegetación,Lluviosa
401,1,1.33333,bajo,Sin vegetación,Seca
402,1,1.33333,bajo,Sin vegetación,Seca
403,1,1.0,bajo,Sin vegetación,Seca
404,1,1.33333,bajo,Sin vegetación,Seca
405,1,1.33333,bajo,Sin vegetación,Seca
406,1,1.33333,bajo,Sin vegetación,Seca
407,1,1.33333,bajo,Sin vegetación,Seca
408,1,1.33333,bajo,Sin vegetación,Seca
409,1,1.0,bajo,Sin vegetación,Seca
410,1,1.0,bajo,Sin vegetación,Seca
411,1,1.33333,bajo,Sin vegetación,Seca
412,1,1.33333,bajo,Sin vegetación,Seca
413,1,1.0,bajo,Sin vegetación,Seca
414,1,1.33333,bajo,Sin vegetación,Seca
415,1,1.33333,bajo,Sin vegetación,Seca
416,1,1.33333,bajo,Sin vegetación,Seca
417,1,1.33333,bajo,Sin vegetación,Seca
418,1,1.0,bajo,Sin vegetación,Seca
419,1,1.33333,bajo,Sin vegetación,Seca
420,1,1.33333,bajo,Sin vegetación,Seca
421,1,1.0,bajo,Sin vegetación,Seca
422,1,1.33333,bajo,Sin vegetación,Seca
423,1,1.33333,bajo,Sin vegetación,Seca
424,1,1.33333,bajo,Sin vegetación,Seca
425,1,1.33333,bajo,Sin vegetación,Seca
426,1,1.0,bajo,Sin vegetación,Seca
427,1,1.33333,bajo,Sin vegetación,Seca
428,1,1.0,bajo,Sin vegetación,Seca
429,1,1.33333,bajo,Sin vegetación,Seca
430,1,1.0,bajo,Sin vegetación,Seca
431,1,1.0,bajo,Sin vegetación,Seca
432,1,1.0,bajo,Sin vegetación,Seca
433,1,1.0,bajo,Sin vegetación,Seca
434,1,1.33333,bajo,Sin vegetación,Seca
435,1,1.0,bajo,Sin vegetación,Seca
436,1,1.33333,bajo,Sin vegetación,Seca
437,1,2.66667,alto,Con vegetación,Lluviosa
438,1,2.66667,alto,Con vegetación,Lluviosa
439,1,2.66667,alto,Con vegetación,Lluviosa
440,1,2.66667,alto,Con vegetación,Lluviosa
441,1,2.66667,alto,Con vegetación,Lluviosa
442,1,2.66667,alto,Con vegetación,Lluviosa
443,1,2.66667,alto,Con vegetación,Lluviosa
444,1,2.66667,alto,Con vegetación,Lluviosa
445,1,2.66667,alto,Con vegetación,Lluviosa
446,1,2.66667,alto,Con vegetación,Lluviosa
447,1,2.66667,alto,Con vegetación,Lluviosa
448,1,2.66667,alto,Con vegetación,Lluviosa
449,1,2.66667,alto,Con vegetación,Lluviosa
450,1,2.66667,alto,Con vegetación,Lluviosa
451,1,2.66667,alto,Con vegetación,Lluviosa
452,1,2.66667,alto,Con vegetación,Lluviosa
453,1,2.33333,alto,Con vegetación,Lluviosa
454,1,2.66667,alto,Con vegetación,Lluviosa
455,1,2.66667,alto,Con vegetación,Lluviosa
456,1,2.66667,alto,Con vegetación,Lluviosa
457,1,2.66667,alto,Con vegetación,Lluviosa
458,1,2.66667,alto,Con vegetación,Lluviosa
459,1,2.66667,alto,Con vegetación,Lluviosa
460,1,2.66667,alto,Con vegetación,Lluviosa
461,1,2.66667,alto,Con vegetación,Lluviosa
462,1,2.66667,alto,Con vegetación,Lluviosa
463,1,2.66667,alto,Con vegetación,Lluviosa
464,1,2.66667,alto,Con vegetación,Lluviosa
465,1,2.66667,alto,Con vegetación,Lluviosa
466,1,2.66667,alto,Con vegetación,Lluviosa
467,1,2.66667,alto,Con vegetación,Lluviosa
468,1,2.66667,alto,Con vegetación,Lluviosa
469,1,2.66667,alto,Con vegetación,Lluviosa
470,1,2.66667,alto,Con vegetación,Lluviosa
471,1,2.66667,alto,Con vegetación,Lluviosa
472,1,2.66667,alto,Con vegetación,Lluviosa
473,1,2.66667,alto,Con vegetación,Lluviosa
474,1,2.66667,alto,Con vegetación,Lluviosa
475,1,2.66667,alto,Con vegetación,Lluviosa
476,1,2.66667,alto,Con vegetación,Lluviosa
477,1,2.66667,alto,Con vegetación,Lluviosa
478,1,2.66667,alto,Con vegetación,Lluviosa
479,1,2.66667,alto,Con vegetación,Lluviosa
480,1,2.66667,alto,Con vegetación,Lluviosa
481,1,2.66667,alto,Con vegetación,Lluviosa
482,1,2.66667,alto,Con vegetación,Lluviosa
483,1,2.66667,alto,Con vegetación,Lluviosa
484,1,2.66667,alto,Con vegetación,Lluviosa
485,1,2.66667,alto,Con vegetación,Lluviosa
486,1,2.66667,alto,Con vegetación,Lluviosa
487,1,2.66667,alto,Con vegetación,Lluviosa
488,1,2.66667,alto,Con vegetación,Lluviosa
489,1,2.66667,alto,Con vegetación,Lluviosa
490,1,2.66667,alto,Con vegetación,Lluviosa
491,1,2.66667,alto,Con vegetación,Lluviosa
492,1,2.66667,alto,Con vegetación,Lluviosa
493,1,2.66667,alto,Con vegetación,Lluviosa
494,1,2.66667,alto,Con vegetación,Lluviosa
495,1,2.66667,alto,Con vegetación,Lluviosa
496,1,2.66667,alto,Con vegetación,Lluviosa
497,1,2.66667,alto,Con vegetación,Lluviosa
498,1,2.66667,alto,Con vegetación,Lluviosa
499,1,2.66667,alto,Con vegetación,Lluviosa
500,1,2.66667,alto,Con vegetación,Lluviosa
501,1,2.66667,alto,Con vegetación,Lluviosa
502,1,2.66667,alto,Con vegetación,Lluviosa
503,1,2.66667,alto,Con vegetación,Lluviosa
504,1,2.66667,alto,Con vegetación,Lluviosa
505,1,2.66667,alto,Con vegetación,Lluviosa
506,1,2.66667,alto,Con vegetación,Lluviosa
507,1,2.66667,alto,Con vegetación,Lluviosa
508,1,2.66667,alto,Con vegetación,Lluviosa
509,1,2.66667,alto,Con vegetación,Lluviosa
510,1,2.66667,alto,Con vegetación,Lluviosa
511,1,2.66667,alto,Con vegetación,Lluviosa
512,1,2.66667,alto,Con vegetación,Lluviosa
513,1,2.66667,alto,Con vegetación,Lluviosa
514,1,2.66667,alto,Con vegetación,Lluviosa
515,1,2.66667,alto,Con vegetación,Lluviosa
516,1,2.66667,alto,Con vegetación,Lluviosa
517,1,2.66667,alto,Con vegetación,Lluviosa
518,1,2.66667,alto,Con vegetación,Lluviosa
519,1,2.66667,alto,Con vegetación,Lluviosa
520,1,2.66667,alto,Con vegetación,Lluviosa
521,1,2.66667,alto,Con vegetación,Lluviosa
522,1,2.66667,alto,Con vegetación,Lluviosa
523,1,2.66667,alto,Con vegetación,Lluviosa
524,1,2.66667,alto,Con vegetación,Lluviosa
525,1,2.66667,alto,Con vegetación,Lluviosa
526,1,2.66667,alto,Con vegetación,Lluviosa
527,1,2.66667,alto,Con vegetación,Lluviosa
528,1,2.66667,alto,Con vegetación,Lluviosa
529,1,2.66667,alto,Con vegetación,Lluviosa
530,1,2.66667,alto,Con vegetación,Lluviosa
531,1,2.66667,alto,Con vegetación,Lluviosa
532,1,2.66667,alto,Con vegetación,Lluviosa
533,1,2.66667,alto,Con vegetación,Lluviosa
534,1,2.66667,alto,Con vegetación,Lluviosa
535,1,2.66667,alto,Con vegetación,Lluviosa
536,1,2.66667,alto,Con vegetación,Lluviosa
